EwE version,"6.4.11414.0 (compiled 10/10/2014)"
Date,"7/24/2015 3:59:21 PM"
ModelName,REcosystem
EcosimScenario,"Double F on RF1"
TimeSeries,(none)
StartYear,0

Data, Biomass

Seabirds,Whales,Seals,JuvRoundfish1,AduRoundfish1,JuvRoundfish2,AduRoundfish2,JuvFlatfish1,AduFlatfish1,JuvFlatfish2,AduFlatfish2,OtherGroundfish,Foragefish1,Foragefish2,OtherForagefish,Megabenthos,Shellfish,Macrobenthos,Zooplankton,Phytoplankton,Detritus,Discards
0.01493405, 0.4543657, 0.02500191, 0.1303838, 1.389524, 1.237614, 5.581678, 0.06985293, 5.765958, 0.09654821, 0.7399719, 7.375829, 5.093532, 4.69417, 5.094223, 19.7299, 7.00091, 17.39688, 22.99968, 10.00012, 3636.377, 1.217318
0.01493391, 0.4543656, 0.02500191, 0.1303821, 1.389497, 1.237398, 5.581901, 0.06985303, 5.765954, 0.09654825, 0.7399796, 7.375215, 5.093383, 4.694048, 5.094434, 19.72914, 7.000937, 17.39699, 22.99971, 10.00011, 3636.374, 1.217284
0.01493377, 0.4543656, 0.0250019, 0.1303804, 1.38947, 1.237191, 5.5821, 0.06985313, 5.765951, 0.09654834, 0.7399874, 7.374612, 5.093238, 4.693932, 5.094651, 19.7284, 7.000965, 17.39711, 22.99974, 10.0001, 3636.37, 1.21725
0.01493363, 0.4543655, 0.02500189, 0.1303787, 1.389445, 1.236995, 5.582275, 0.06985325, 5.765949, 0.09654845, 0.7399955, 7.374022, 5.093099, 4.693821, 5.094875, 19.72768, 7.000992, 17.39722, 22.99977, 10.00008, 3636.366, 1.217217
0.01493348, 0.4543654, 0.02500188, 0.130377, 1.38942, 1.236809, 5.582426, 0.06985337, 5.765948, 0.09654859, 0.7400037, 7.373446, 5.092965, 4.693715, 5.095104, 19.727, 7.001019, 17.39735, 22.9998, 10.00007, 3636.362, 1.217185
0.01493334, 0.4543654, 0.02500185, 0.1303754, 1.389395, 1.236635, 5.582551, 0.06985351, 5.765948, 0.09654873, 0.7400121, 7.372883, 5.092836, 4.693614, 5.095337, 19.72635, 7.001045, 17.39747, 22.99982, 10.00006, 3636.359, 1.217153
0.01493319, 0.4543653, 0.02500183, 0.1303737, 1.389371, 1.236475, 5.582652, 0.06985365, 5.765949, 0.09654889, 0.7400207, 7.372336, 5.092712, 4.69352, 5.095575, 19.72573, 7.001072, 17.3976, 22.99984, 10.00005, 3636.355, 1.217122
0.01493304, 0.4543653, 0.0250018, 0.1303721, 1.389348, 1.236328, 5.582727, 0.06985379, 5.76595, 0.09654906, 0.7400295, 7.371804, 5.092595, 4.693431, 5.095817, 19.72515, 7.001098, 17.39772, 22.99986, 10.00005, 3636.352, 1.217092
0.01493289, 0.4543652, 0.02500176, 0.1303706, 1.389326, 1.236195, 5.582778, 0.06985395, 5.765953, 0.09654923, 0.7400385, 7.371289, 5.092483, 4.693348, 5.09606, 19.7246, 7.001124, 17.39785, 22.99988, 10.00004, 3636.349, 1.217062
0.01493274, 0.4543652, 0.02500172, 0.130369, 1.389305, 1.236078, 5.582803, 0.0698541, 5.765956, 0.0965494, 0.7400476, 7.370791, 5.092377, 4.693272, 5.096306, 19.72408, 7.00115, 17.39799, 22.99989, 10.00003, 3636.346, 1.217034
0.01493258, 0.4543651, 0.02500167, 0.1303675, 1.389284, 1.235976, 5.582803, 0.06985427, 5.765961, 0.09654956, 0.7400569, 7.370311, 5.092278, 4.693202, 5.096553, 19.7236, 7.001175, 17.39812, 22.9999, 10.00003, 3636.343, 1.217006
0.01493243, 0.4543651, 0.02500162, 0.1303661, 1.389264, 1.235889, 5.582778, 0.06985444, 5.765965, 0.09654972, 0.7400663, 7.36985, 5.092185, 4.693138, 5.096801, 19.72316, 7.0012, 17.39825, 22.99991, 10.00002, 3636.34, 1.216979
0.01493227, 0.4543651, 0.02500157, 0.1303647, 1.389245, 1.235819, 5.582729, 0.0698546, 5.765972, 0.09654988, 0.7400759, 7.369407, 5.092099, 4.69308, 5.097048, 19.72275, 7.001225, 17.39839, 22.99991, 10.00002, 3636.338, 1.216953
0.01493212, 0.454365, 0.02500151, 0.1303633, 1.389227, 1.235762, 5.582657, 0.06985477, 5.765978, 0.09655002, 0.7400857, 7.368983, 5.092019, 4.69303, 5.097295, 19.72238, 7.001248, 17.39852, 22.99991, 10.00002, 3636.335, 1.216928
0.01493196, 0.454365, 0.02500145, 0.130362, 1.389209, 1.23572, 5.582563, 0.06985494, 5.765986, 0.09655014, 0.7400957, 7.36858, 5.091946, 4.692986, 5.097541, 19.72204, 7.001272, 17.39866, 22.99991, 10.00002, 3636.333, 1.216905
0.0149318, 0.454365, 0.02500139, 0.1303607, 1.389193, 1.235691, 5.58245, 0.06985512, 5.765994, 0.09655023, 0.7401057, 7.368196, 5.09188, 4.692948, 5.097785, 19.72175, 7.001295, 17.39879, 22.99991, 10.00002, 3636.331, 1.216882
0.01493165, 0.454365, 0.02500132, 0.1303595, 1.389177, 1.235674, 5.582318, 0.06985528, 5.766003, 0.09655032, 0.7401159, 7.367834, 5.09182, 4.692917, 5.098025, 19.72149, 7.001317, 17.39892, 22.9999, 10.00002, 3636.329, 1.216861
0.01493149, 0.454365, 0.02500125, 0.1303583, 1.389162, 1.235668, 5.58217, 0.06985545, 5.766013, 0.09655038, 0.7401263, 7.367491, 5.091767, 4.692893, 5.098263, 19.72127, 7.001338, 17.39905, 22.99989, 10.00002, 3636.327, 1.21684
0.01493133, 0.454365, 0.02500117, 0.1303571, 1.389148, 1.235674, 5.582005, 0.06985562, 5.766024, 0.09655041, 0.7401367, 7.36717, 5.091721, 4.692875, 5.098498, 19.72108, 7.001359, 17.39918, 22.99988, 10.00002, 3636.325, 1.216821
0.01493117, 0.454365, 0.02500109, 0.1303561, 1.389135, 1.235691, 5.581825, 0.06985578, 5.766035, 0.0965504, 0.7401474, 7.366869, 5.091681, 4.692863, 5.098728, 19.72093, 7.00138, 17.39931, 22.99986, 10.00002, 3636.323, 1.216803
0.01493102, 0.454365, 0.02500101, 0.130355, 1.389122, 1.235719, 5.581633, 0.06985593, 5.766047, 0.09655037, 0.7401581, 7.36659, 5.091649, 4.692858, 5.098954, 19.72082, 7.0014, 17.39943, 22.99985, 10.00003, 3636.322, 1.216786
0.01493086, 0.454365, 0.02500093, 0.1303541, 1.389111, 1.235757, 5.581428, 0.06985608, 5.766059, 0.0965503, 0.7401689, 7.366331, 5.091622, 4.692859, 5.099174, 19.72074, 7.001419, 17.39955, 22.99983, 10.00004, 3636.321, 1.216771
